Date,Open,High,Low,Close,Adj Close,Volume
2019-04-12,1.781000,1.800000,1.781000,1.800000,1.800000,700
2019-04-15,1.795000,2.330000,1.795000,2.190000,2.190000,55700
2019-04-16,2.190000,2.420000,2.190000,2.269000,2.269000,16700
2019-04-17,2.340000,2.441000,2.207000,2.300000,2.300000,12100
2019-04-18,1.850000,2.320000,1.850000,2.060000,2.060000,23800
2019-04-22,2.100000,2.160000,2.100000,2.100000,2.100000,5000
2019-04-23,2.157000,2.157000,2.000000,2.000000,2.000000,1700
2019-04-24,1.925000,1.925000,1.925000,1.925000,1.925000,800
2019-04-25,1.820000,1.990000,1.820000,1.990000,1.990000,2300
2019-04-26,1.990000,2.118000,1.990000,2.050000,2.050000,6400
2019-04-29,1.900000,2.150000,1.900000,2.150000,2.150000,15800
2019-04-30,2.140000,2.200000,2.085000,2.085000,2.085000,40800
2019-05-01,2.120000,2.120000,2.100000,2.100000,2.100000,800
2019-05-02,2.100000,2.129000,2.100000,2.129000,2.129000,1900
2019-05-03,2.100000,2.240000,2.100000,2.240000,2.240000,1100
2019-05-06,2.250000,2.250000,2.141000,2.170000,2.170000,29100
2019-05-07,2.200000,2.200000,2.200000,2.200000,2.200000,1100
2019-05-08,2.090000,2.350000,2.090000,2.350000,2.350000,9600
2019-05-09,2.350000,2.350000,2.350000,2.350000,2.350000,100
2019-05-10,2.350000,2.350000,2.290000,2.290000,2.290000,400
2019-05-13,2.120000,2.350000,2.120000,2.350000,2.350000,4600
2019-05-14,2.350000,2.450000,2.350000,2.350000,2.350000,7300
2019-05-15,2.385000,2.385000,2.020000,2.160000,2.160000,28400
2019-05-16,2.330000,2.330000,2.120000,2.150000,2.150000,37700
2019-05-17,2.100000,2.130000,2.100000,2.130000,2.130000,900
2019-05-20,2.007000,2.250000,1.900000,2.240000,2.240000,43500
2019-05-21,1.906000,2.230000,1.906000,2.229000,2.229000,14500
2019-05-22,2.090000,2.200000,2.060000,2.076000,2.076000,2100
2019-05-23,2.180000,2.350000,2.168000,2.350000,2.350000,9500
2019-05-24,2.263000,2.300000,2.240000,2.240000,2.240000,500
2019-05-28,2.290000,2.300000,2.060000,2.300000,2.300000,6100
2019-05-29,2.100000,2.193000,2.080000,2.100000,2.100000,21000
2019-05-30,2.110000,2.290000,2.110000,2.279000,2.279000,3300
2019-05-31,2.060000,2.171000,2.060000,2.160000,2.160000,5000
2019-06-03,2.111000,2.300000,2.111000,2.300000,2.300000,7000
2019-06-04,2.080000,2.080000,2.080000,2.080000,2.080000,200
2019-06-05,2.080000,2.080000,2.080000,2.080000,2.080000,100
2019-06-06,2.080000,2.080000,2.080000,2.080000,2.080000,300
2019-06-07,2.210000,2.210000,1.980000,2.073000,2.073000,19400
2019-06-10,2.120000,2.120000,1.930000,2.000000,2.000000,900
2019-06-11,2.080000,2.080000,2.017000,2.017000,2.017000,1000
2019-06-12,1.800000,1.910000,1.750000,1.910000,1.910000,18800
2019-06-13,1.760000,1.830000,1.688000,1.800000,1.800000,24900
2019-06-14,1.710000,1.800000,1.700000,1.795000,1.795000,8400
2019-06-17,1.750000,1.837000,1.750000,1.837000,1.837000,3000
2019-06-18,1.690000,1.825000,1.330000,1.800000,1.800000,39400
2019-06-19,1.750000,1.780000,1.540000,1.540000,1.540000,13200
2019-06-20,1.700000,1.850000,1.550000,1.660000,1.660000,12200
2019-06-21,1.650000,1.730000,1.530000,1.530000,1.530000,5500
2019-06-24,1.538000,1.780000,1.538000,1.680000,1.680000,3000
2019-06-25,1.570000,1.850000,1.560000,1.740000,1.740000,11100
2019-06-26,1.658000,1.729000,1.658000,1.680000,1.680000,3800
2019-06-27,1.610000,1.750000,1.610000,1.650000,1.650000,9700
2019-06-28,1.830000,1.830000,1.530000,1.650000,1.650000,31100
2019-07-01,1.709000,1.870000,1.680000,1.740000,1.740000,3100
2019-07-02,1.650000,1.803000,1.650000,1.650000,1.650000,3200
2019-07-03,1.658000,1.737000,1.520000,1.540000,1.540000,27500
2019-07-05,1.670000,1.830000,1.640000,1.830000,1.830000,3100
2019-07-08,1.860000,1.860000,1.630000,1.720000,1.720000,2000
2019-07-09,1.660000,1.660000,1.660000,1.660000,1.660000,400
2019-07-10,1.663000,1.663000,1.530000,1.550000,1.550000,5200
2019-07-11,1.598000,1.719000,1.590000,1.590000,1.590000,6000
2019-07-12,1.640000,1.760000,1.560000,1.560000,1.560000,22900
2019-07-15,1.635000,1.710000,1.560000,1.610000,1.610000,2400
2019-07-16,1.820000,1.820000,1.535000,1.540000,1.540000,12300
2019-07-17,1.550000,1.720000,1.530000,1.580000,1.580000,16900
2019-07-18,1.610000,1.610000,1.580000,1.600000,1.600000,1100
2019-07-19,1.551000,1.620000,1.530000,1.600000,1.600000,15100
2019-07-22,1.600000,1.650000,1.600000,1.620000,1.620000,1100
2019-07-23,1.620000,1.620000,1.550000,1.560000,1.560000,3100
2019-07-24,1.539000,1.685000,1.539000,1.685000,1.685000,12700
2019-07-25,1.630000,1.680000,1.630000,1.680000,1.680000,900
2019-07-26,1.620000,1.710000,1.620000,1.650000,1.650000,8400
2019-07-29,1.700000,1.750000,1.680000,1.700000,1.700000,27800
2019-07-30,1.575000,1.870000,1.575000,1.870000,1.870000,7000
2019-07-31,1.862000,1.862000,1.610000,1.610000,1.610000,8800
2019-08-01,1.620000,1.770000,1.578000,1.660000,1.660000,4400
2019-08-02,1.620000,1.760000,1.620000,1.690000,1.690000,1200
2019-08-05,1.760000,1.760000,1.642000,1.650000,1.650000,1100
2019-08-06,1.650000,1.650000,1.616000,1.616000,1.616000,12200
2019-08-07,1.650000,1.650000,1.642000,1.650000,1.650000,700
