Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,2084.399902,2093.399902,2074.250000,2080.750000,1955.040649,1530539
2018-09-11,2089.000000,2089.000000,2042.199951,2046.250000,1922.625122,3679745
2018-09-12,2052.350098,2068.899902,2040.000000,2043.949951,1920.463989,2307661
2018-09-14,2044.000000,2071.550049,2018.150024,2065.399902,1940.617920,3642038
2018-09-17,2070.000000,2077.800049,2054.550049,2074.149902,1948.838867,1033857
2018-09-18,2073.000000,2078.800049,2057.600098,2070.750000,1945.644897,1456507
2018-09-19,2071.899902,2089.000000,2066.850098,2077.899902,1952.362549,1301268
2018-09-21,2077.000000,2121.000000,2050.149902,2103.149902,1976.087646,4508530
2018-09-24,2115.000000,2210.500000,2098.149902,2198.449951,2065.629639,3032226
2018-09-25,2204.899902,2211.899902,2153.800049,2183.199951,2051.300781,2868778
2018-09-26,2187.000000,2199.000000,2135.100098,2142.149902,2012.730713,1970951
2018-09-27,2141.899902,2209.699951,2135.800049,2188.850098,2056.609131,3311802
2018-09-28,2178.000000,2190.000000,2158.850098,2183.699951,2051.770752,2904371
2018-10-01,2190.899902,2275.949951,2190.350098,2255.550049,2119.280273,3772208
2018-10-03,2250.300049,2255.000000,2155.600098,2162.850098,2032.180908,3902322
2018-10-04,2156.600098,2156.649902,2056.350098,2064.800049,1940.054565,4762419
2018-10-05,2050.000000,2120.000000,2020.900024,2102.649902,1975.617188,3417624
2018-10-08,2102.649902,2122.199951,2048.149902,2077.550049,1952.034058,2010154
2018-10-09,2080.350098,2107.649902,2053.199951,2091.800049,1965.422852,1867130
2018-10-10,2100.000000,2105.949951,2029.000000,2043.599976,1920.134888,2749573
2018-10-11,1985.000000,2013.000000,1941.000000,1979.949951,1860.330444,4700256
2018-10-12,1978.000000,1978.000000,1903.000000,1918.300049,1802.405029,9373289
2018-10-15,1940.000000,1955.550049,1920.000000,1949.500000,1831.720093,2638151
2018-10-16,1958.000000,1971.900024,1935.000000,1962.300049,1843.746826,2815425
2018-10-17,1970.000000,1989.000000,1920.000000,1929.400024,1812.834351,2779207
2018-10-19,1929.000000,1929.000000,1870.050049,1913.199951,1797.613403,3428776
2018-10-22,1914.000000,1916.000000,1886.949951,1903.000000,1788.029419,1778496
2018-10-23,1888.000000,1898.000000,1837.000000,1843.650024,1735.914307,2752811
