Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,6.425000,6.520000,6.425000,6.515000,6.515000,6800
2019-06-18,6.470000,6.620000,6.410000,6.515000,6.515000,2200
2019-06-19,6.490000,6.635000,6.400000,6.635000,6.635000,10000
2019-06-20,6.640000,6.640000,6.440000,6.500000,6.500000,13200
2019-06-21,6.425000,6.635000,6.425000,6.635000,6.635000,10200
2019-06-24,6.465000,6.465000,6.465000,6.465000,6.465000,800
2019-06-25,6.580000,6.585000,6.535000,6.535000,6.535000,4400
2019-06-26,6.515000,6.640000,6.475000,6.610000,6.610000,5400
2019-06-27,6.555000,6.655000,6.485000,6.505000,6.505000,55400
2019-06-28,6.750000,6.850000,6.610000,6.850000,6.850000,12200
2019-07-01,6.625000,6.750000,6.625000,6.625000,6.625000,10400
2019-07-02,6.625000,6.625000,6.625000,6.625000,6.625000,800
2019-07-03,6.630000,6.855000,6.630000,6.850000,6.850000,3800
2019-07-05,6.740000,6.740000,6.500000,6.665000,6.665000,8400
2019-07-08,6.950000,6.950000,6.680000,6.680000,6.680000,4600
2019-07-09,6.710000,6.845000,6.595000,6.795000,6.795000,6000
2019-07-10,6.635000,6.730000,6.635000,6.700000,6.700000,4200
2019-07-11,6.640000,6.675000,6.625000,6.675000,6.675000,12600
2019-07-12,6.615000,6.710000,6.600000,6.640000,6.640000,50400
2019-07-15,6.595000,6.650000,6.525000,6.550000,6.550000,22200
2019-07-16,6.610000,6.650000,6.525000,6.525000,6.525000,10600
2019-07-17,6.650000,6.650000,6.535000,6.535000,6.535000,13400
2019-07-18,6.550000,6.550000,6.525000,6.525000,6.525000,1200
2019-07-19,6.530000,6.575000,6.425000,6.430000,6.430000,22800
2019-07-22,6.480000,6.480000,6.420000,6.420000,6.420000,7600
2019-07-23,6.405000,6.480000,6.400000,6.400000,6.400000,4600
2019-07-24,6.340000,6.465000,6.330000,6.465000,6.465000,7600
2019-07-25,6.435000,6.480000,6.310000,6.325000,6.325000,5600
2019-07-26,6.480000,6.620000,6.405000,6.405000,6.405000,35600
2019-07-29,6.440000,6.615000,6.370000,6.390000,6.390000,5600
2019-07-30,6.345000,6.500000,6.340000,6.340000,6.340000,3800
2019-07-31,6.415000,6.500000,6.405000,6.410000,6.410000,14400
2019-08-01,6.390000,6.700000,6.390000,6.475000,6.475000,13000
2019-08-02,6.430000,6.625000,6.430000,6.535000,6.535000,14800
2019-08-05,6.415000,6.495000,6.320000,6.450000,6.450000,8200
2019-08-06,6.350000,6.445000,6.305000,6.355000,6.355000,23400
2019-08-07,6.300000,6.650000,6.300000,6.350000,6.350000,16000
2019-08-08,6.670000,6.670000,6.490000,6.490000,6.490000,3400
2019-08-09,6.600000,6.600000,6.350000,6.355000,6.355000,16200
2019-08-12,6.460000,6.540000,6.390000,6.415000,6.415000,10200
2019-08-13,6.425000,6.700000,6.425000,6.645000,6.645000,17600
2019-08-14,6.585000,6.585000,6.510000,6.520000,6.520000,1800
2019-08-15,6.550000,6.640000,6.430000,6.525000,6.525000,21200
2019-08-16,6.460000,6.460000,6.300000,6.390000,6.390000,18200
2019-08-19,6.365000,6.445000,6.330000,6.445000,6.445000,3600
2019-08-20,6.445000,6.605000,6.445000,6.465000,6.465000,5200
2019-08-21,6.560000,6.560000,6.475000,6.475000,6.475000,10800
